"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","331,383,809","±36,464"
"    1 to 4 years","14,802,610","±38,313"
"    5 to 17 years","54,314,739","±27,651"
"    18 and 19 years","8,856,960","±36,787"
"    20 to 24 years","21,618,383","±37,891"
"    25 to 29 years","21,906,706","±31,604"
"    30 to 34 years","23,405,056","±26,432"
"    35 to 39 years","22,650,099","±74,504"
"    40 to 44 years","22,126,485","±76,443"
"    45 to 49 years","19,859,230","±24,126"
"    50 to 54 years","20,661,941","±28,593"
"    55 to 59 years","20,198,508","±52,191"
"    60 to 64 years","21,676,036","±55,481"
"    65 to 69 years","19,026,961","±53,797"
"    70 to 74 years","15,797,857","±48,866"
"    75 years and over","24,482,238","±15,842"
"    Same house 1 year ago:","291,381,909","±229,417"
"        1 to 4 years","12,646,799","±45,907"
"        5 to 17 years","49,066,308","±67,150"
"        18 and 19 years","6,616,664","±37,312"
"        20 to 24 years","15,761,082","±58,328"
"        25 to 29 years","16,487,638","±46,931"
"        30 to 34 years","19,257,885","±51,187"
"        35 to 39 years","19,579,063","±73,151"
"        40 to 44 years","19,799,027","±79,469"
"        45 to 49 years","18,104,427","±33,316"
"        50 to 54 years","19,045,091","±36,341"
"        55 to 59 years","18,793,465","±53,713"
"        60 to 64 years","20,272,125","±57,149"
"        65 to 69 years","17,978,445","±51,885"
"        70 to 74 years","14,989,333","±48,307"
"        75 years and over","22,984,557","±29,484"
"    Moved within same county:","19,949,058","±155,133"
"        1 to 4 years","1,174,022","±25,997"
"        5 to 17 years","2,999,423","±53,407"
"        18 and 19 years","679,764","±18,079"
"        20 to 24 years","2,763,018","±36,644"
"        25 to 29 years","2,641,183","±31,972"
"        30 to 34 years","2,073,476","±32,267"
"        35 to 39 years","1,520,932","±29,426"
"        40 to 44 years","1,196,455","±24,683"
"        45 to 49 years","925,333","±19,362"
"        50 to 54 years","842,571","±18,040"
"        55 to 59 years","709,019","±17,528"
"        60 to 64 years","685,150","±18,306"
"        65 to 69 years","504,737","±12,157"
"        70 to 74 years","411,307","±11,524"
"        75 years and over","822,668","±15,248"
"    Moved from different county within same state:","10,077,853","±86,207"
"        1 to 4 years","495,650","±17,187"
"        5 to 17 years","1,077,258","±25,087"
"        18 and 19 years","860,172","±16,116"
"        20 to 24 years","1,661,477","±29,610"
"        25 to 29 years","1,409,150","±23,789"
"        30 to 34 years","1,028,438","±23,196"
"        35 to 39 years","756,151","±20,859"
"        40 to 44 years","568,069","±15,584"
"        45 to 49 years","418,608","±14,729"
"        50 to 54 years","395,823","±11,080"
"        55 to 59 years","335,945","±10,209"
"        60 to 64 years","329,500","±12,840"
"        65 to 69 years","241,847","±8,356"
"        70 to 74 years","170,701","±7,112"
"        75 years and over","329,064","±10,487"
"    Moved from different state:","7,550,415","±76,295"
"        1 to 4 years","367,509","±13,674"
"        5 to 17 years","797,687","±23,303"
"        18 and 19 years","586,996","±12,672"
"        20 to 24 years","1,136,507","±24,833"
"        25 to 29 years","1,079,139","±25,127"
"        30 to 34 years","772,528","±19,495"
"        35 to 39 years","560,786","±14,935"
"        40 to 44 years","406,065","±13,450"
"        45 to 49 years","300,643","±11,244"
"        50 to 54 years","285,626","±10,075"
"        55 to 59 years","277,334","±9,293"
"        60 to 64 years","307,071","±12,238"
"        65 to 69 years","234,688","±8,263"
"        70 to 74 years","172,682","±7,530"
"        75 years and over","265,154","±9,228"
"    Moved from abroad:","2,424,574","±44,025"
"        1 to 4 years","118,630","±7,951"
"        5 to 17 years","374,063","±17,128"
"        18 and 19 years","113,364","±6,545"
"        20 to 24 years","296,299","±12,032"
"        25 to 29 years","289,596","±12,570"
"        30 to 34 years","272,729","±12,114"
"        35 to 39 years","233,167","±10,623"
"        40 to 44 years","156,869","±9,481"
"        45 to 49 years","110,219","±7,159"
"        50 to 54 years","92,830","±6,382"
"        55 to 59 years","82,745","±5,488"
"        60 to 64 years","82,190","±6,591"
"        65 to 69 years","67,244","±3,929"
"        70 to 74 years","53,834","±3,717"
"        75 years and over","80,795","±4,644"
