"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Moved; within same county!!Estimate","United States!!Moved; within same county!!Margin of Error","United States!!Moved; from different county, same state!!Estimate","United States!!Moved; from different county, same state!!Margin of Error","United States!!Moved; from different  state!!Estimate","United States!!Moved; from different  state!!Margin of Error","United States!!Moved; from abroad!!Estimate","United States!!Moved; from abroad!!Margin of Error"
"Population 1 year and over","331,383,809","±36,464","6.0%","±0.1","3.0%","±0.1","2.3%","±0.1","0.7%","±0.1"
"    AGE","","","","","","","","","",""
"        1 to 4 years","14,802,610","±38,313","7.9%","±0.2","3.3%","±0.1","2.5%","±0.1","0.8%","±0.1"
"        5 to 17 years","54,314,739","±27,651","5.5%","±0.1","2.0%","±0.1","1.5%","±0.1","0.7%","±0.1"
"        18 to 24 years","30,475,343","±42,978","11.3%","±0.1","8.3%","±0.1","5.7%","±0.1","1.3%","±0.1"
"        25 to 34 years","45,311,762","±41,566","10.4%","±0.1","5.4%","±0.1","4.1%","±0.1","1.2%","±0.1"
"        35 to 44 years","44,776,584","±38,040","6.1%","±0.1","3.0%","±0.1","2.2%","±0.1","0.9%","±0.1"
"        45 to 54 years","40,521,171","±35,181","4.4%","±0.1","2.0%","±0.1","1.4%","±0.1","0.5%","±0.1"
"        55 to 64 years","41,874,544","±20,098","3.3%","±0.1","1.6%","±0.1","1.4%","±0.1","0.4%","±0.1"
"        65 to 74 years","34,824,818","±25,992","2.6%","±0.1","1.2%","±0.1","1.2%","±0.1","0.3%","±0.1"
"        75 years and over","24,482,238","±15,842","3.4%","±0.1","1.3%","±0.1","1.1%","±0.1","0.3%","±0.1"
"        Median age (years)","39.6","±0.1","29.4","±0.1","28.2","±0.2","29.0","±0.2","30.3","±0.3"
"    SEX","","","","","","","","","",""
"        Male","163,913,789","±42,505","6.0%","±0.1","3.2%","±0.1","2.3%","±0.1","0.8%","±0.1"
"        Female","167,470,020","±39,249","6.1%","±0.1","2.9%","±0.1","2.2%","±0.1","0.7%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","289,379,982","±179,245","5.9%","±0.1","3.1%","±0.1","2.3%","±0.1","0.7%","±0.1"
"            White","200,827,483","±129,501","5.4%","±0.1","3.0%","±0.1","2.4%","±0.1","0.4%","±0.1"
"            Black or African American","40,186,201","±95,387","7.7%","±0.2","3.6%","±0.1","2.2%","±0.1","0.7%","±0.1"
"            American Indian and Alaska Native","3,310,261","±43,995","6.9%","±0.4","3.4%","±0.2","1.7%","±0.1","0.7%","±0.1"
"            Asian","19,881,849","±45,722","5.9%","±0.1","2.9%","±0.1","2.7%","±0.1","2.5%","±0.1"
